travel_type,rating,label,covid,is_local,aspect_sentiment,topic_2,topic_1,topic_0,topic_5,topic_4,topic_3,overall_textblob_polarity
,5.0,Positive,PostCovid,0,"[[night, special, 4]]",,,,,0.35714285714285715,,0.5023809523809524
,5.0,Positive,PostCovid,0,"[[staff, experi, 2], [birthday, celebr, 3]]",0.0,,,,,0.0,0.525
solo,5.0,Positive,PostCovid,0,"[[place, great, 4]]",,,,,0.8,,0.4055555555555555
family,5.0,Positive,PostCovid,0,"[[team, second, 2]]",0.0,,,,,,0.39999999999999997
family,5.0,Positive,PostCovid,0,"[[time, great, 2]]",0.8,,,,,,0.74
family,4.0,Positive,PostCovid,0,"[[check, servic, 1], [check, good, 1], [team, long, 2], [guest, 'consid demand', 1], [help, 'also dine', 2], [help, extra, 2], [help, extra, 2], [thank, easier, 2]]",-0.01,0.2333333333333333,,,,,0.19604591836734694
friends,5.0,Positive,PostCovid,0,"[[day, harmless, 1]]",,0.0,,,,,0.2854166666666667
couple,5.0,Positive,PostCovid,1,"[[day, dear, 1], [hotel, morn, 0]]",,0.0,0.0,,,,0.39531250000000007
couple,2.0,Negative,PostCovid,0,"[[breakfast, good, 0], [room, smart, 1]]",,0.21428571428571427,0.7,,,,0.13313492063492063
,4.0,Positive,PostCovid,0,"[[room, better, 1], [floor, mari, 4]]",,0.5,,,0.0,,0.1559895833333333
,5.0,Positive,PostCovid,0,"[[club, great, 5], [club, servic, 5], [team, special, 2]]",0.35714285714285715,,,0.4,,,0.5114285714285715
,5.0,Positive,PostCovid,0,"[[thank, experi, 2]]",0.0,,,,,,0.3678571428571429
,5.0,Positive,PostCovid,1,"[[hotel, nice, 0]]",,,0.6,,,,0.33749999999999997
,5.0,Positive,PostCovid,0,"[[check, central, 1], [staff, seamless, 2], [book, close, 1]]",0.1,0.0,,,,,0.3658035714285714
,5.0,Positive,PostCovid,0,"[[hotel, experi, 0], [hotel, best, 0], [day, nice, 1], [staff, good, 2], [cake, free, 3], [cake, 'also free', 3]]",0.7,0.6,0.5,,,0.4,0.5833333333333334
,5.0,Positive,PostCovid,0,"[[book, experi, 1]]",,0.0,,,,,0.6375000000000001
,5.0,Positive,PostCovid,0,"[[need, enough, 1], [need, express, 1], [need, everi, 1], [team, incred, 2]]",0.0,0.0,,,,,0.4666666666666666
,5.0,Positive,PostCovid,0,"[[birthday, celebr, 3], [team, 'alway thank', 2]]",0.0,,,,,0.0,0.7872727272727273
,5.0,Positive,PostCovid,0,"[[view, good, 4], [room, nice, 1], [room, major, 1]]",,0.33125,,,0.7,,0.4157407407407408
,5.0,Positive,PostCovid,0,"[[wonder, high, 2], [wonder, 'super high', 2]]",0.2033333333333333,,,,,,0.5503030303030303
,5.0,Positive,PostCovid,0,"[[hotel, experi, 0], [club, particular, 5], [club, servic, 5]]",,,0.0,0.08333333333333333,,,0.5
,5.0,Positive,PostCovid,0,"[[room, 'east extrem', 1], [room, 'somewhat daunt', 1], [room, 'soon door', 1], [restaur, open, 3]]",,0.0,,,,0.0,0.37592592592592594
,5.0,Positive,PostCovid,0,"[[staff, entir, 2]]",0.0,,,,,,0.5107142857142858
,5.0,Positive,PostCovid,0,"[[time, second, 2], [club, wise, 5], [staff, 'ever friendli', 2]]",0.0,,,0.7,,,0.5041666666666669
,5.0,Positive,PostCovid,0,"[[staff, best, 2], [staff, best, 2]]",1.0,,,,,,0.7333333333333333
business,5.0,Positive,PostCovid,0,"[[visit, next, 4]]",,,,,0.0,,0.5285714285714286
couple,5.0,Positive,PostCovid,0,"[[room, normal, 1]]",,0.15,,,,,0.29
solo,5.0,Positive,PostCovid,0,"[[room, 'long wait', 1]]",,-0.05,,,,,0.41250000000000003
couple,5.0,Positive,PostCovid,1,"[[view, splendid, 4], [food, great, 3], [staff, overal, 2]]",0.0,,,,0.8333333333333334,0.8,0.48546365914786965
couple,5.0,Positive,PostCovid,0,"[[wonder, great, 2], [day, old, 1]]",0.8,0.1,,,,,0.3333333333333333
couple,5.0,Positive,PostCovid,0,"[[view, perfect, 4]]",,,,,1.0,,0.5333333333333333
solo,5.0,Positive,PostCovid,0,"[[time, good, 2], [time, servic, 2], [time, good, 2]]",0.4666666666666666,,,,,,0.6148148148148148
family,5.0,Positive,PostCovid,0,"[[stay, great, 2], [day, differ, 1], [room, great, 1], [room, smaller, 1], [hotel, super, 0]]",0.8,0.26666666666666666,0.3333333333333333,,,,0.31
family,5.0,Positive,PostCovid,0,"[[stay, great, 2]]",0.8,,,,,,0.4464912280701754
family,5.0,Positive,PostCovid,0,"[[pool, great, 4], [time, everi, 2]]",0.0,,,,0.8,,0.5484375
friends,5.0,Positive,PostCovid,0,"[[food, hot, 3], [food, cold, 3], [food, cold, 3]]",,,,,,-0.31666666666666665,0.40312629399585925
friends,5.0,Positive,PostCovid,0,"[[staff, servic, 2], [staff, sweet, 2]]",0.175,,,,,,0.2795833333333333
couple,5.0,Positive,PostCovid,0,"[[view, best, 4], [cake, 'also tri', 3], [cake, good, 3]]",,,,,1.0,0.35,0.5928571428571429
couple,5.0,Positive,PostCovid,0,"[[birthday, celebr, 3]]",,,,,,0.0,0.7333333333333334
family,5.0,Positive,PostCovid,0,"[[breakfast, enough, 0], [day, 'also station', 1], [day, everi, 1]]",,0.0,0.0,,,,0.34778325123152715
business,5.0,Positive,PostCovid,0,"[[hotel, best, 0], [hotel, 'possibl best', 0]]",,,1.0,,,,0.3158333333333333
family,5.0,Positive,PostCovid,1,"[[birthday, first, 3], [time, great, 2]]",0.8,,,,,0.25,0.4851919819311124
couple,5.0,Positive,PostCovid,0,"[[hotel, great, 0], [room, nice, 1]]",,0.6,0.8,,,,0.4651515151515152
business,5.0,Positive,PostCovid,0,"[[day, second, 1], [room, ladi, 1], [room, clean, 1], [staff, malo, 2], [night, close, 4]]",0.0,0.12222222222222223,,,0.0,,0.5142857142857142
family,1.0,Negative,PostCovid,0,"[[breakfast, 'least frozen', 0], [night, first, 4], [view, cold, 4]]",,,-0.3,,-0.175,,-0.10833333333333335
business,5.0,Positive,PostCovid,0,"[[staff, pleasant, 2], [room, local, 1]]",0.7333333333333333,0.0,,,,,0.44333333333333336
couple,5.0,Positive,PostCovid,0,"[[room, advic, 1], [floor, highest, 4], [room, top, 1], [floor, second, 4]]",,0.25,,,0.0,,0.2375
family,4.0,Positive,PostCovid,0,"[[place, great, 4]]",,,,,0.8,,0.5266666666666666
family,5.0,Positive,PostCovid,0,"[[book, unfortun, 1], [book, last, 1], [book, full, 1], [book, 'almost full', 1], [room, last, 1]]",,0.13999999999999999,,,,,0.27541666666666664
couple,5.0,Positive,PostCovid,1,"[[thank, better, 2]]",0.5,,,,,,0.5295918367346939
,5.0,Positive,PostCovid,0,"[[day, next, 1], [time, next, 2]]",0.0,0.0,,,,,0.26666666666666666
,5.0,Positive,PostCovid,0,"[[hotel, 'amaz pleasur', 0], [stay, pleasant, 2]]",0.7333333333333333,,0.0,,,,0.5491666666666666
,5.0,Positive,PostCovid,0,"[[team, strong, 2]]",0.4333333333333333,,,,,,0.47222222222222227
,4.0,Positive,PostCovid,0,"[[staff, warm, 2], [tea, servic, 5], [tea, hot, 5], [room, top, 1], [room, proper, 1]]",0.6,0.25,,0.125,,,0.39999999999999997
,5.0,Positive,PostCovid,0,"[[staff, brilliant, 2], [staff, servic, 2]]",0.45,,,,,,0.31054421768707485
,5.0,Positive,PostCovid,0,"[[room, classi, 1], [room, nice, 1]]",,0.3,,,,,0.26944444444444443
,5.0,Positive,PostCovid,0,"[[worth, overal, 4], [worth, good, 4]]",,,,,0.4,,0.4642857142857143
,5.0,Positive,PostCovid,0,"[[staff, nice, 2], [stay, great, 2], [hotel, experi, 0], [hotel, qualiti, 0]]",0.7,,0.0,,,,0.42142857142857143
,5.0,Positive,PostCovid,0,"[[time, next, 2]]",0.0,,,,,,0.21346153846153845
,5.0,Positive,PostCovid,1,"[[room, smooth, 1], [room, quick, 1], [floor, second, 4], [room, far, 1], [breakfast, wet, 0]]",,0.2777777777777778,-0.1,,0.0,,0.26875
family,5.0,Positive,PostCovid,0,"[[check, much, 1]]",,0.2,,,,,0.49500000000000005
family,5.0,Positive,PostCovid,1,"[[room, excel, 1], [room, servic, 1], [hotel, best, 0], [hotel, 'best best', 0], [hotel, clearer, 0], [cake, 'also acced', 3], [cake, 'kind acced', 3], [room, 'also bath', 1], [room, coffe, 1], [time, first, 2], [day, next, 1], [hotel, warm, 0]]",0.25,0.0,0.65,,,0.3,0.3897705627705628
couple,5.0,Positive,PostCovid,0,"[[book, good, 1], [room, 'even laid', 1], [hotel, experi, 0], [hotel, 'best experi', 0]]",,0.35,0.5,,,,0.38026315789473686
family,5.0,Positive,PostCovid,1,"[[dine, central, 3], [room, modern, 1], [hotel, top, 0], [pool, swim, 4]]",,0.2,0.5,,0.0,0.0,0.5025641025641026
couple,5.0,Positive,PostCovid,0,"[[day, 'discov work', 1], [day, grand, 1], [day, total, 1]]",,0.16666666666666666,,,,,0.2619924812030075
couple,5.0,Positive,PostCovid,0,"[[hotel, grand, 0], [love, insid, 5], [breakfast, clean, 0], [buffet, modern, 3]]",,,0.43333333333333335,0.5,,0.2,0.4680952380952381
solo,5.0,Positive,PostCovid,1,"[[time, everi, 2]]",0.0,,,,,,0.3128205128205128
,5.0,Positive,PostCovid,0,"[[food, great, 3], [food, experi, 3], [food, servic, 3], [food, great, 3], [pool, great, 4], [thank, special, 2]]",0.35714285714285715,,,,0.8,0.4,0.5672619047619046
,5.0,Positive,PostCovid,0,"[[club, best, 5], [food, great, 3], [club, great, 5]]",,,,0.9,,0.8,0.4784722222222222
,5.0,Positive,PostCovid,0,"[[room, quiet, 1]]",,0.0,,,,,0.09999999999999999
,5.0,Positive,PostCovid,1,"[[day, covid, 1], [team, 'even crusti', 2]]",0.0,0.0,,,,,0.2796875
,5.0,Positive,PostCovid,0,"[[pool, sure, 4], [dinner, late, 3], [restaur, good, 3]]",,,,,0.5,0.19999999999999998,0.6256944444444444
,5.0,Positive,PostCovid,0,"[[wonder, perfect, 2], [staff, covid, 2], [top, qualiti, 4]]",0.5,,,,0.5,,0.4980272108843538
,5.0,Positive,PostCovid,0,"[[team, front, 2], [wait, high, 1]]",0.0,0.16,,,,,0.51
,4.0,Positive,PostCovid,0,"[[staff, much, 2]]",0.2,,,,,,0.30000000000000004
,5.0,Positive,PostCovid,0,"[[club, best, 5], [club, everi, 5], [staff, best, 2]]",1.0,,,0.5,,,0.5075757575757577
,5.0,Positive,PostCovid,0,"[[day, great, 1], [time, super, 2], [pool, big, 4], [time, great, 2], [staff, good, 2]]",0.611111111111111,0.8,,,0.0,,0.33825757575757576
,5.0,Positive,PostCovid,0,"[[room, classi, 1]]",,0.0,,,,,0.3287878787878788
,5.0,Positive,PostCovid,1,"[[birthday, celebr, 3]]",,,,,,0.0,0.8
,5.0,Positive,PostCovid,0,"[[club, servic, 5]]",,,,0.0,,,0.5517857142857143
,5.0,Positive,PostCovid,0,"[[view, nice, 4]]",,,,,0.6,,0.38499999999999995
,4.0,Positive,PostCovid,0,"[[birthday, celebr, 3]]",,,,,,0.0,0.5016666666666667
,5.0,Positive,PostCovid,1,"[[team, special, 2], [time, much, 2]]",0.2785714285714286,,,,,,0.4607142857142857
,5.0,Positive,PostCovid,0,"[[time, second, 2], [staff, small, 2], [wonder, experi, 2]]",-0.08333333333333333,,,,,,0.3589583333333333
,5.0,Positive,PostCovid,1,"[[team, nice, 2], [team, whole, 2]]",0.4,,,,,,0.18095238095238098
,5.0,Positive,PostCovid,0,"[[stay, previous, 2], [birthday, particularli, 3], [club, servic, 5]]",-0.16666666666666666,,,0.0,,0.0,0.2883333333333334
,5.0,Positive,PostCovid,1,"[[room, short, 1]]",,0.0,,,,,0.3380952380952381
,5.0,Positive,PostCovid,0,"[[room, earli, 1]]",,0.0,,,,,0.44833333333333336
,5.0,Positive,PostCovid,1,"[[club, special, 5]]",,,,0.35714285714285715,,,0.5411255411255411
,5.0,Positive,PostCovid,0,"[[room, great, 1]]",,0.8,,,,,0.4382575757575757
,5.0,Positive,PostCovid,1,"[[hotel, high, 0], [tea, high, 5]]",,,0.16,0.16,,,0.2671428571428572
,5.0,Positive,PostCovid,0,"[[enjoy, nice, 5], [time, next, 2]]",0.0,,,0.5,,,0.3037037037037037
,3.0,Neutral,PostCovid,0,"[[stay, good, 2], [stay, select, 2]]",0.35,,,,,,0.20625
,5.0,Positive,PostCovid,0,"[[room, pleasant, 1]]",,0.7333333333333333,,,,,0.33888888888888885
,5.0,Positive,PostCovid,0,"[[restaur, incred, 3], [room, better, 1], [room, 'even better', 1], [room, good, 1], [recommend, strong, 5]]",,0.5666666666666667,,0.4333333333333333,,0.0,0.6416666666666667
,5.0,Positive,PostCovid,0,"[[night, final, 4]]",,,,,0.0,,0.18102240896358546
,5.0,Positive,PostCovid,0,"[[wonder, brilliant, 2], [wonder, impecc, 2]]",0.45,,,,,,0.69375
,5.0,Positive,PostCovid,0,"[[breakfast, small, 0], [stay, great, 2]]",0.8,,-0.25,,,,0.3583333333333334
,5.0,Positive,PostCovid,1,"[[love, celebr, 5], [birthday, celebr, 3], [view, full, 4], [stay, twice, 2]]",0.0,,,0.5,0.35,0.0,0.33090909090909093
,5.0,Positive,PostCovid,0,"[[stay, fortun, 2]]",0.0,,,,,,0.5027777777777778
,5.0,Positive,PostCovid,0,"[[staff, new, 2], [staff, recept, 2], [team, old, 2]]",0.07878787878787878,,,,,,0.3040404040404041
,4.0,Positive,PostCovid,0,"[[night, twice, 4], [night, longer, 4], [night, 'unimpress longer', 4]]",,,,,0.0,,0.4457142857142856
,4.0,Positive,PostCovid,1,"[[room, great, 1], [room, great, 1], [area, outdoor, 0]]",,0.8,0.0,,,,0.3308974358974359
,5.0,Positive,PostCovid,0,"[[room, live, 1]]",,0.13636363636363635,,,,,0.26551948051948054
,5.0,Positive,PostCovid,0,"[[afternoon, calm, 5]]",,,,0.30000000000000004,,,0.4916666666666667
,5.0,Positive,PostCovid,0,"[[wonder, great, 2]]",0.8,,,,,,0.5571428571428572
,5.0,Positive,PostCovid,0,"[[book, experi, 1], [book, 'best experi', 1], [book, great, 1], [time, next, 2], [visit, fourth, 4]]",0.0,0.6,,,0.0,,0.2885964912280702
,5.0,Positive,PostCovid,0,"[[buffet, much, 3]]",,,,,,0.2,0.5250000000000001
,5.0,Positive,PostCovid,0,"[[pool, fresh, 4], [view, much, 4], [pool, nice, 4]]",,,,,0.3666666666666667,,0.3966666666666667
,5.0,Positive,PostCovid,0,"[[afternoon, perfect, 5], [staff, select, 2], [staff, sweet, 2]]",0.175,,,1.0,,,0.5387500000000001
,4.0,Positive,PostCovid,1,"[[hotel, nice, 0], [restaur, unfortun, 3]]",,,0.6,,,0.0,0.35454545454545455
,5.0,Positive,PostCovid,0,"[[time, first, 2], [visit, next, 4]]",0.25,,,,0.0,,0.25
,5.0,Positive,PostCovid,0,"[[staff, high, 2]]",0.16,,,,,,0.20444444444444443
,5.0,Positive,PostCovid,0,"[[time, first, 2], [staff, perfect, 2], [buffet, huge, 3], [night, first, 4]]",0.625,,,,0.25,0.4000000000000001,0.24133333333333334
,5.0,Positive,PostCovid,0,"[[comfort, extra, 0]]",,,0.0,,,,0.53
,5.0,Positive,PostCovid,0,"[[view, best, 4], [hotel, best, 0], [hotel, countri, 0], [time, good, 2]]",0.7,,0.5,,1.0,,0.6000000000000001
,3.0,Neutral,PostCovid,0,"[[time, high, 2]]",0.16,,,,,,0.2871428571428572
,3.0,Neutral,PostCovid,0,"[[night, last, 4], [day, new, 1], [day, next, 1], [day, last, 1]]",,0.04545454545454545,,,0.0,,0.09696969696969698
,5.0,Positive,PostCovid,0,"[[club, special, 5]]",,,,0.35714285714285715,,,0.6396428571428572
,5.0,Positive,PostCovid,0,"[[wonder, special, 2], [view, great, 4], [restaur, main, 3], [dinner, special, 3], [birthday, celebr, 3]]",0.35714285714285715,,,,0.8,0.17460317460317462,0.5411640211640212
,5.0,Positive,PostCovid,0,"[[floor, great, 4]]",,,,,0.8,,0.4083333333333333
,2.0,Negative,PostCovid,1,"[[hotel, great, 0], [time, poor, 2], [bed, old, 1]]",-0.4,0.1,0.8,,,,0.1554511278195489
,5.0,Positive,PostCovid,0,"[[time, clean, 2]]",0.3666666666666667,,,,,,0.18955026455026452
,5.0,Positive,PostCovid,0,"[[room, quick, 1], [floor, tri, 4]]",,0.3333333333333333,,,0.0,,0.4703703703703704
,5.0,Positive,PostCovid,0,"[[hotel, brilliant, 0]]",,,0.9,,,,0.4875
couple,2.0,Negative,PostCovid,0,"[[night, brief, 4], [staff, total, 2]]",0.0,,,,0.0,,-0.07916666666666666
couple,5.0,Positive,PostCovid,0,"[[night, great, 4]]",,,,,0.8,,0.43333333333333335
couple,5.0,Positive,PostCovid,0,"[[room, extra, 1], [view, great, 4], [day, wet, 1], [hotel, big, 0], [hotel, best, 0], [room, slight, 1], [room, entir, 1], [stay, great, 2]]",0.8,-0.06666666666666667,0.5,,0.8,,0.3341344246031746
,5.0,Positive,PostCovid,0,"[[hotel, choic, 0], [hotel, perfect, 0], [hotel, great, 0], [day, great, 1], [day, select, 1], [drink, good, 5], [stay, choic, 2], [hotel, best, 0]]",0.0,0.4,0.7,0.7,,,0.519753086419753
couple,5.0,Positive,PostCovid,0,"[[place, entri, 4], [place, 'even entri', 4], [staff, great, 2], [staff, servic, 2], [check, late, 1], [book, major, 1]]",0.4,-0.11875,,,0.0,,0.32291666666666663
couple,5.0,Positive,PostCovid,0,"[[staff, 'glad made', 2], [staff, choic, 2], [hotel, servic, 0], [staff, special, 2], [enjoy, much, 5]]",0.28571428571428575,,0.0,0.30000000000000004,,,0.44477040816326535
couple,5.0,Positive,PostCovid,0,"[[hotel, servic, 0], [hotel, best, 0], [room, quiet, 1], [bed, perfect, 1], [breakfast, choic, 0]]",,0.5,0.3333333333333333,,,,0.4958333333333333
family,5.0,Positive,PostCovid,1,"[[room, sure, 1], [room, brief, 1], [room, orient, 1], [day, later, 1], [breakfast, enough, 0]]",,0.125,0.0,,,,0.23633333333333334
couple,5.0,Positive,PostCovid,0,"[[staff, much, 2], [staff, top, 2], [restaur, great, 3]]",0.35,,,,,0.8,0.5010416666666666
family,1.0,Negative,PostCovid,0,"[[room, dark, 1], [room, bigger, 1]]",,-0.075,,,,,-0.05138888888888887
couple,5.0,Positive,PostCovid,0,"[[room, old, 1], [room, modern, 1]]",,0.15000000000000002,,,,,0.29642857142857143
couple,5.0,Positive,PostCovid,0,"[[restaur, fresh, 3]]",,,,,,0.3,0.475
solo,5.0,Positive,PostCovid,0,"[[room, grand, 1], [room, high, 1], [room, standard, 1], [need, great, 1]]",,0.365,,,,,0.21564814814814812
,5.0,Positive,PostCovid,0,"[[night, best, 4], [birthday, perfect, 3]]",,,,,1.0,1.0,0.3764136904761905
,5.0,Positive,PostCovid,1,"[[room, nice, 1]]",,0.6,,,,,0.23333333333333334
,3.0,Neutral,PostCovid,0,"[[room, nice, 1], [drink, great, 5], [drink, nice, 5], [food, light, 3]]",,0.6,,0.7,,0.4,0.5792207792207793
,5.0,Positive,PostCovid,0,"[[hotel, best, 0], [breakfast, 'even serv', 0]]",,,0.5,,,,0.40155844155844156
,5.0,Positive,PostCovid,1,"[[staff, everi, 2]]",0.0,,,,,,0.2494047619047619
,5.0,Positive,PostCovid,0,"[[staff, servic, 2], [room, total, 1], [buffet, special, 3], [night, qualiti, 4]]",0.0,0.0,,,0.0,0.35714285714285715,0.42952380952380953
,5.0,Positive,PostCovid,0,"[[staff, warmli, 2]]",0.0,,,,,,0.37235930735930733
,5.0,Positive,PostCovid,1,"[[stay, great, 2], [stay, 'best great', 2], [hotel, usual, 0], [stay, next, 2], [time, next, 2]]",0.42500000000000004,,-0.25,,,,0.275
,5.0,Positive,PostCovid,0,"[[afternoon, servic, 5], [tea, great, 5]]",,,,0.4,,,0.6097222222222222
,5.0,Positive,PostCovid,0,"[[floor, 'even fantast', 4], [staff, high, 2], [staff, standard, 2], [place, great, 4]]",0.08,,,,0.4,,0.27375
couple,5.0,Positive,PostCovid,0,"[[staff, great, 2]]",0.8,,,,,,0.4
solo,5.0,Positive,PostCovid,0,"[[place, nice, 4], [staff, perfect, 2], [staff, 'alway perfect', 2], [visit, next, 4]]",1.0,,,,0.3,,0.5111111111111111
,5.0,Positive,PostCovid,0,"[[day, last, 1], [day, last, 1], [day, tight, 1], [night, late, 4], [day, next, 1], [visit, first, 4]]",,-0.044642857142857144,,,-0.024999999999999994,,0.20562397372742203
,5.0,Positive,PostCovid,1,"[[book, spectacular, 1], [club, pleasant, 5], [hotel, attitud, 0], [hotel, good, 0]]",,0.6,0.35,0.7333333333333333,,,0.3746279761904762
couple,5.0,Positive,PostCovid,0,"[[walk, great, 0], [time, unfortun, 2]]",0.0,,0.8,,,,0.27037037037037037
friends,5.0,Positive,PostCovid,0,"[[staff, great, 2], [place, great, 4], [place, perfect, 4]]",0.8,,,,0.9,,0.7666666666666666
family,5.0,Positive,PostCovid,0,"[[day, second, 1], [wonder, 'even better', 2]]",0.5,0.0,,,,,0.500357142857143
couple,5.0,Positive,PostCovid,0,"[[enjoy, current, 5], [restaur, main, 3], [food, usual, 3], [club, servic, 5], [room, best, 1]]",,1.0,,0.1,,-0.04166666666666667,0.39191919191919194
,5.0,Positive,PostCovid,0,"[[time, choic, 2], [time, third, 2], [hotel, best, 0], [hotel, good, 0], [hotel, choic, 0]]",0.0,,0.5666666666666667,,,,0.39440901360544217
,3.0,Neutral,PostCovid,0,"[[bed, great, 1], [bed, uncomfort, 1], [bed, uncomfort, 1], [hotel, 'much requisit', 0], [night, good, 4]]",,0.26666666666666666,0.2,,0.7,,0.259375
,5.0,Positive,PostCovid,0,"[[club, entir, 5]]",,,,0.0,,,0.3335227272727273
,5.0,Positive,PostCovid,0,"[[hotel, great, 0], [view, nice, 4], [food, great, 3]]",,,0.8,,0.6,0.8,0.6142857142857142
,3.0,Neutral,PostCovid,0,"[[day, typic, 1]]",,0.0,,,,,-0.10185185185185186
,5.0,Positive,PostCovid,0,"[[afternoon, second, 5]]",,,,0.0,,,0.5083333333333333
,5.0,Positive,PostCovid,0,"[[day, long, 1], [cake, bakeri, 3], [cake, best, 3]]",,-0.05,,,,0.5,0.4971861471861473
,5.0,Positive,PostCovid,0,"[[day, special, 1], [day, special, 1]]",,0.35714285714285715,,,,,0.5016483516483516
,5.0,Positive,PostCovid,0,"[[visit, memor, 4]]",,,,,0.0,,0.5892857142857143
,5.0,Positive,PostCovid,0,"[[area, huge, 0]]",,,0.4000000000000001,,,,0.3813492063492064
,5.0,Positive,PostCovid,0,"[[floor, fourth, 4], [dine, main, 3], [floor, fourth, 4]]",,,,,0.0,0.16666666666666666,0.29236111111111107
,4.0,Positive,PostCovid,0,"[[hotel, good, 0], [room, full, 1], [day, next, 1]]",,0.175,0.7,,,,0.19734848484848486
,5.0,Positive,PostCovid,1,"[[room, easi, 1]]",,0.0,,,,,0.49110119047619055
,5.0,Positive,PostCovid,0,"[[club, good, 5], [room, smaller, 1]]",,0.0,,0.7,,,0.4172668240850059
,5.0,Positive,PostCovid,0,"[[view, central, 4], [view, great, 4], [club, obvious, 5]]",,,,0.0,0.4,,0.3107142857142858
,5.0,Positive,PostCovid,0,"[[staff, 'anywher signatur', 2], [pool, older, 4]]",0.0,,,,0.16666666666666666,,0.3712797619047619
,5.0,Positive,PostCovid,0,"[[check, final, 1]]",,0.0,,,,,0.19738095238095238
,5.0,Positive,PostCovid,0,"[[breakfast, perfect, 0]]",,,1.0,,,,0.37575757575757573
,5.0,Positive,PostCovid,0,"[[stay, great, 2], [room, great, 1], [club, nice, 5]]",0.8,0.8,,0.6,,,0.7062500000000002
,5.0,Positive,PostCovid,0,"[[hotel, high, 0], [tea, high, 5], [tea, high, 5], [wonder, servic, 2], [wonder, impecc, 2]]",0.0,,0.16,0.16,,,0.4026363636363636
