,traveller_username,date,covid,star,rating,aspect_sentiment,count_topic_4,topic_4,count_topic_1,topic_1,count_topic_0,topic_0,count_topic_2,topic_2,count_topic_3,topic_3
20,Dream44072049200,2023-09-01,PostCovid,5,5.0,"[[stay, best, 0]]",,,,,1.0,1.0,,,,
21,MuMu,2023-08-01,PostCovid,5,5.0,"[[night, overal, 0], [night, experi, 0]]",,,,,2.0,0.0,,,,
22,Seaside38024368923,2023-09-01,PostCovid,5,5.0,"[[cake, small, 3], [servic, good, 3]]",,,,,,,,,2.0,0.22499999999999998
23,Stephen C,2023-09-01,PostCovid,5,5.0,[],,,,,,,,,,
24,Jonathan H,2023-09-01,PostCovid,5,5.0,"[[hotel, fantast, 1], [hotel, modern, 1], [staff, big, 0]]",,,2.0,0.1,1.0,0.0,,,,
25,Manisha,2023-09-01,PostCovid,5,5.0,[],,,,,,,,,,
26,Emma K,2023-09-01,PostCovid,5,5.0,"[[time, next, 4], [room, much, 2]]",1.0,0.0,,,,,1.0,0.2,,
27,Kenny,2023-09-01,PostCovid,5,5.0,"[[view, great, 0], [time, great, 4]]",1.0,0.8,,,1.0,0.8,,,,
28,Phil G,2023-09-01,PostCovid,5,5.0,[],,,,,,,,,,
29,A H,2023-09-01,PostCovid,5,5.0,"[[staff, high, 0]]",,,,,1.0,0.16,,,,
30,Neil M,2023-08-01,PostCovid,5,5.0,"[[room, differ, 2], [help, 'extra mile', 3], [pool, nice, 2], [day, certain, 4]]",1.0,0.21428571428571427,,,,,2.0,0.3,1.0,0.0
31,Vitadrinker,2023-02-01,PostCovid,5,5.0,"[[night, spent, 0], [room, 'celebr anniversari', 2], [room, insid, 2], [hotel, special, 1]]",,,1.0,0.35714285714285715,1.0,-0.1,2.0,0.0,,
32,Garky C,2023-09-01,PostCovid,5,5.0,"[[staff, 'well room', 0], [staff, clean, 0], [pool, whole, 2], [time, better, 4]]",1.0,0.5,,,2.0,0.18333333333333335,1.0,0.2,,
33,Rob O,2023-08-01,PostCovid,5,5.0,"[[servic, good, 3], [room, extra, 2]]",,,,,,,1.0,0.0,1.0,0.7
34,Ina C,2023-09-01,PostCovid,5,5.0,[],,,,,,,,,,
35,Calvin T,2023-09-01,PostCovid,5,5.0,"[[food, environ, 3], [birthday, nice, 3]]",,,,,,,,,2.0,0.3
36,Jenner D,2023-09-01,PostCovid,5,5.0,"[[birthday, celebr, 3]]",,,,,,,,,1.0,0.0
37,goosmurf,2023-09-01,PostCovid,5,5.0,"[[friendli, super, 3], [experi, nice, 3]]",,,,,,,,,2.0,0.4666666666666667
38,Mari T,2023-08-01,PostCovid,5,5.0,"[[room, strait, 2], [staff, present, 0]]",,,,,1.0,0.0,1.0,0.0,,
39,Roving21439189683,2023-09-01,PostCovid,5,5.0,"[[staff, experi, 0]]",,,,,1.0,0.0,,,,
40,Jennifer A,2023-09-01,PostCovid,5,5.0,[],,,,,,,,,,
41,Lay Teng Ang,2023-08-01,PostCovid,5,5.0,"[[room, arrang, 2]]",,,,,,,1.0,0.0,,
42,Ghadeer2014,2023-08-01,PostCovid,5,5.0,"[[room, singapor, 2], [desk, ganesan, 4], [desk, front, 4]]",2.0,0.0,,,,,1.0,0.0,,
43,Ross S,2023-08-01,PostCovid,5,5.0,[],,,,,,,,,,
44,Brigitte S,2023-08-01,PostCovid,5,5.0,"[[team, christin, 3]]",,,,,,,,,1.0,0.0
45,Resort685686,2023-08-01,PostCovid,5,5.0,"[[time, great, 4], [singapor, singapor, 0]]",1.0,0.8,,,1.0,0.0,,,,
46,JamaiNoble,2023-08-01,PostCovid,5,4.0,"[[check, servic, 4], [check, good, 4], [team, long, 3], [help, extra, 3], [thank, easier, 3]]",2.0,0.35,,,,,,,3.0,-0.016666666666666666
47,Mike B,2023-08-01,PostCovid,5,5.0,"[[room, strait, 2], [day, harmless, 4], [night, fellow, 0]]",1.0,0.0,,,1.0,0.0,1.0,0.0,,
48,Chia Kok Koon,2023-07-01,PostCovid,5,5.0,"[[day, dear, 4], [club, strait, 0]]",1.0,0.0,,,1.0,0.0,,,,
49,Shu,2023-08-01,PostCovid,5,2.0,"[[breakfast, good, 1], [room, smart, 2]]",,,1.0,0.7,,,1.0,0.21428571428571427,,
50,Biznouk,2023-08-01,PostCovid,5,4.0,"[[room, better, 2]]",,,,,,,1.0,0.5,,
51,Climber08119396116,2023-08-01,PostCovid,5,5.0,"[[club, great, 0], [club, servic, 0], [team, special, 3], [team, servic, 3]]",,,,,2.0,0.4,,,2.0,0.17857142857142858
52,Freedom35324970059,2023-08-01,PostCovid,5,5.0,"[[thank, experi, 3]]",,,,,,,,,1.0,0.0
53,현주 이,2023-07-01,PostCovid,5,5.0,[],,,,,,,,,,
54,Risako,2023-08-01,PostCovid,5,5.0,[],,,,,,,,,,
55,Hemali Tanna,2023-08-01,PostCovid,5,5.0,"[[hotel, nice, 1]]",,,1.0,0.6,,,,,,
56,Michael,2023-06-01,PostCovid,5,5.0,"[[check, central, 4], [staff, seamless, 0], [bay, perfect, 0], [bay, right, 0], [book, close, 4], [citi, singapor, 1]]",2.0,0.0,1.0,0.0,3.0,0.4619047619047619,,,,
57,SDA,2023-08-01,PostCovid,5,5.0,"[[hotel, experi, 1], [hotel, best, 1], [day, nice, 4], [staff, good, 0], [day, singapor, 4], [cake, free, 3], [cake, 'also free', 3]]",2.0,0.3,2.0,0.5,1.0,0.7,,,2.0,0.4
58,Guide44506109925,2023-08-01,PostCovid,5,5.0,"[[book, singapor, 4]]",1.0,0.0,,,,,,,,
59,brian c,2023-08-01,PostCovid,5,5.0,"[[time, singapor, 4]]",1.0,0.0,,,,,,,,
60,janet,2023-08-01,PostCovid,5,5.0,[],,,,,,,,,,
61,Ria NH,2023-07-01,PostCovid,5,5.0,"[[view, good, 0], [room, nice, 2]]",,,,,1.0,0.7,1.0,0.6,,
62,ToughRalph,2023-08-01,PostCovid,5,5.0,"[[room, high, 2], [room, 'super high', 2], [room, qualiti, 2]]",,,,,,,3.0,0.13555555555555554,,
63,Resort43214611344,2023-08-01,PostCovid,5,5.0,"[[staff, tri, 0], [staff, peke, 0]]",,,,,2.0,0.0,,,,
64,Sam C,2023-06-01,PostCovid,5,5.0,[],,,,,,,,,,
65,ASHAM,2023-08-01,PostCovid,5,5.0,"[[hotel, experi, 1], [hotel, singapor, 1], [club, particular, 0]]",,,2.0,0.0,1.0,0.16666666666666666,,,,
66,Jak,2023-08-01,PostCovid,5,5.0,"[[restaur, 'sort head', 1], [restaur, open, 1]]",,,2.0,0.0,,,,,,
67,Ellen F,2023-08-01,PostCovid,5,5.0,"[[staff, entir, 0]]",,,,,1.0,0.0,,,,
68,Roger G,2023-07-01,PostCovid,5,5.0,"[[view, brilliant, 0], [time, second, 4], [club, wise, 0], [club, strait, 0]]",1.0,0.0,,,3.0,0.5333333333333333,,,,
69,Excursion22650739136,2023-07-01,PostCovid,5,5.0,"[[staff, best, 0], [staff, best, 0]]",,,,,2.0,1.0,,,,
70,Culture01345915077,2023-07-01,PostCovid,5,5.0,"[[visit, next, 0]]",,,,,1.0,0.0,,,,
71,Inspire08851556440,2023-07-01,PostCovid,5,5.0,"[[room, normal, 2]]",,,,,,,1.0,0.15,,
72,Brian L,2023-07-01,PostCovid,5,5.0,"[[room, 'long wait', 2], [desk, front, 4]]",1.0,0.0,,,,,1.0,-0.05,,
73,Tracy G,2023-07-01,PostCovid,5,5.0,[],,,,,,,,,,
74,Ryan,2023-07-01,PostCovid,5,5.0,"[[food, servic, 3], [food, great, 3], [food, wise, 3], [club, strait, 0], [staff, overal, 0]]",,,,,2.0,0.0,,,3.0,0.5
75,David D,2023-07-01,PostCovid,5,5.0,"[[day, old, 4]]",1.0,0.1,,,,,,,,
76,niam,2023-07-01,PostCovid,5,5.0,"[[view, perfect, 0], [club, strait, 0], [time, luxuri, 4]]",1.0,0.0,,,2.0,0.5,,,,
77,Tourist47791944065,2023-07-01,PostCovid,5,5.0,"[[servic, good, 3], [time, good, 4], [time, servic, 4], [time, good, 4]]",3.0,0.4666666666666666,,,,,,,1.0,0.7
78,Ashish800,2023-07-01,PostCovid,5,5.0,"[[stay, great, 0], [day, differ, 4], [room, great, 2], [room, earlier, 2], [hotel, super, 1]]",1.0,0.0,1.0,0.3333333333333333,1.0,0.8,2.0,0.4,,
79,HuntSAH,2023-07-01,PostCovid,5,5.0,"[[stay, great, 0], [view, old, 0], [view, offic, 0], [bed, 'even latt', 2], [bed, great, 2]]",,,,,3.0,0.3,2.0,0.4,,
80,Darren H,2023-07-01,PostCovid,5,5.0,"[[room, much, 2], [pool, great, 2], [walk, main, 1]]",,,1.0,0.16666666666666666,,,2.0,0.5,,
81,Debzb60,2023-05-01,PostCovid,5,5.0,"[[stay, singapor, 0], [food, hot, 3], [food, cold, 3], [food, hot, 3], [food, cold, 3]]",,,,,1.0,0.0,,,4.0,-0.175
82,Getaway48937373419,2023-07-01,PostCovid,5,5.0,"[[staff, servic, 0], [staff, sweet, 0]]",,,,,2.0,0.175,,,,
83,adriene t,2023-07-01,PostCovid,5,5.0,"[[view, best, 0], [day, singapor, 4], [day, 'also singapor', 4]]",2.0,0.0,,,1.0,1.0,,,,
84,TATAN,2023-07-01,PostCovid,5,5.0,"[[time, ndp, 4], [birthday, celebr, 3]]",1.0,0.0,,,,,,,1.0,0.0
85,Loren P,2023-06-01,PostCovid,5,5.0,"[[team, singapor, 3], [breakfast, enough, 1], [day, everi, 4]]",1.0,0.0,1.0,0.0,,,,,1.0,0.0
86,G5165KAnickr,2023-06-01,PostCovid,5,5.0,[],,,,,,,,,,
87,JVL,2023-07-01,PostCovid,5,5.0,"[[hotel, best, 1], [hotel, 'possibl best', 1], [hotel, best, 1], [day, hot, 4], [day, humid, 4]]",2.0,0.125,3.0,1.0,,,,,,
88,Getaway102140,2023-07-01,PostCovid,5,5.0,[],,,,,,,,,,
89,Joanne,2023-06-01,PostCovid,5,5.0,"[[birthday, first, 3], [time, great, 4], [club, strait, 0]]",1.0,0.8,,,1.0,0.0,,,1.0,0.25
90,Mic S,2023-07-01,PostCovid,5,5.0,"[[hotel, great, 1], [room, nice, 2]]",,,1.0,0.8,,,1.0,0.6,,
91,janet w,2023-07-01,PostCovid,5,5.0,"[[day, second, 4], [room, ladi, 2], [room, clean, 2], [staff, malo, 0]]",1.0,0.0,,,1.0,0.0,2.0,0.18333333333333335,,
92,Bernard,2023-07-01,PostCovid,5,5.0,[],,,,,,,,,,
93,Victoria,2023-07-01,PostCovid,5,1.0,"[[breakfast, frozen, 1], [night, first, 0], [view, cold, 0]]",,,1.0,0.0,2.0,-0.175,,,,
94,Shannon33sh,2023-07-01,PostCovid,5,5.0,"[[staff, pleasant, 0], [room, local, 2]]",,,,,1.0,0.7333333333333333,1.0,0.0,,
95,NickyI,2023-06-01,PostCovid,5,5.0,"[[floor, highest, 2], [floor, second, 2], [manag, 'close follow', 4], [manag, duti, 4]]",2.0,0.0,,,,,2.0,0.0,,
96,Ngoc,2023-06-01,PostCovid,5,5.0,"[[servic, good, 3]]",,,,,,,,,1.0,0.7
97,Simon B,2023-07-01,PostCovid,5,4.0,[],,,,,,,,,,
98,Mark B,2023-07-01,PostCovid,5,5.0,"[[book, unfortun, 4], [room, last, 2]]",1.0,0.0,,,,,1.0,0.0,,
99,Kong Chihou,2023-07-01,PostCovid,5,5.0,[],,,,,,,,,,
100,Stay19770992680,2023-06-01,PostCovid,5,5.0,"[[day, next, 4], [time, next, 4]]",2.0,0.0,,,,,,,,
101,Nishant Rai,2023-06-01,PostCovid,5,5.0,"[[hotel, 'amaz stay', 1], [hotel, singapor, 1], [hotel, best, 1], [stay, pleasant, 0]]",,,3.0,0.3333333333333333,1.0,0.7333333333333333,,,,
102,Journey47957892993,2023-06-01,PostCovid,5,5.0,"[[staff, singapor, 0]]",,,,,1.0,0.0,,,,
103,Vacation38412122737,2023-05-01,PostCovid,5,4.0,"[[staff, warm, 0], [tea, hot, 3], [room, proper, 2]]",,,,,1.0,0.6,1.0,0.0,1.0,0.25
104,Bruce C,2023-07-01,PostCovid,5,5.0,"[[club, strait, 0], [staff, brilliant, 0], [staff, servic, 0]]",,,,,3.0,0.3,,,,
105,Mr Pocketsquare,2023-07-01,PostCovid,5,5.0,"[[room, classi, 2], [room, nice, 2], [room, cabl, 2]]",,,,,,,3.0,0.19999999999999998,,
106,Compass38037700784,2023-06-01,PostCovid,5,5.0,[],,,,,,,,,,
107,eric00012014,2023-06-01,PostCovid,5,5.0,"[[hotel, experi, 1], [hotel, perfect, 1], [staff, nice, 0]]",,,2.0,0.5,1.0,0.6,,,,
108,Scenic06707151186,2023-05-01,PostCovid,5,5.0,"[[desk, select, 4], [manag, particular, 4], [time, next, 4]]",3.0,0.05555555555555555,,,,,,,,
109,TKTK80,2023-06-01,PostCovid,5,5.0,"[[room, smooth, 2], [room, quick, 2], [floor, second, 2], [room, far, 2], [breakfast, wet, 1]]",,,1.0,-0.1,,,4.0,0.20833333333333334,,
110,Marie,2023-06-01,PostCovid,5,5.0,"[[check, much, 4], [pool, perfect, 2], [pool, eateri, 2]]",1.0,0.2,,,,,2.0,0.5,,
111,S L,2023-06-01,PostCovid,5,5.0,"[[room, excel, 2], [room, servic, 2], [hotel, clearer, 1], [cake, 'also acced', 3], [cake, 'kind acced', 3], [room, coffe, 2], [arriv, incid, 4], [time, first, 4], [day, next, 4], [hotel, warm, 1], [friendli, pro, 3], [friendli, dedic, 3]]",3.0,0.08333333333333333,2.0,0.3,,,3.0,0.0,4.0,0.15
112,Huehue,2023-05-01,PostCovid,5,5.0,"[[manag, assist, 4], [manag, front, 4], [manag, offic, 4], [room, 'even laid', 2], [guest, much, 4], [hotel, experi, 1], [hotel, 'best experi', 1]]",4.0,0.05,2.0,0.5,,,1.0,0.0,,
113,hhtebaz,2022-11-01,PostCovid,5,5.0,"[[citi, vibrant, 1], [room, perfect, 2], [room, choic, 2], [room, modern, 2], [bathroom, impecc, 2], [room, singapor, 2]]",,,1.0,0.16666666666666666,,,5.0,0.24,,
114,Bhavana,2023-06-01,PostCovid,5,5.0,"[[room, strait, 2], [club, strait, 0], [day, 'discov work', 4], [day, grand, 4], [day, total, 4], [friendli, standard, 3], [friendli, warm, 3], [club, strait, 0]]",3.0,0.16666666666666666,,,2.0,0.0,1.0,0.0,2.0,0.3
115,gep67,2023-06-01,PostCovid,5,5.0,"[[hotel, grand, 1], [love, insid, 0], [breakfast, clean, 1]]",,,2.0,0.43333333333333335,1.0,0.5,,,,
116,Compass50857977825,2023-06-01,PostCovid,5,5.0,[],,,,,,,,,,
117,Tourist04587727447,2023-06-01,PostCovid,5,4.0,"[[help, great, 3], [staff, good, 0]]",,,,,1.0,0.7,,,1.0,0.8
118,engineers1213,2023-06-01,PostCovid,5,5.0,"[[time, everi, 4]]",1.0,0.0,,,,,,,,
119,Shane M,2023-06-01,PostCovid,5,5.0,[],,,,,,,,,,
120,Loulou P,2023-06-01,PostCovid,5,5.0,"[[food, great, 3], [food, experi, 3], [food, servic, 3], [food, great, 3], [room, great, 2], [room, nice, 2]]",,,,,,,2.0,0.7,4.0,0.4
121,The Hitman,2023-06-01,PostCovid,5,5.0,"[[club, strait, 0], [club, best, 0], [room, great, 2], [room, clean, 2], [club, great, 0]]",,,,,3.0,0.6,2.0,0.5833333333333334,,
122,Gil S,2023-06-01,PostCovid,5,5.0,[],,,,,,,,,,
123,Patricia S,2023-03-01,PostCovid,5,5.0,"[[room, quiet, 2], [room, strait, 2]]",,,,,,,2.0,0.0,,
124,Wilson S,2023-06-01,PostCovid,5,5.0,[],,,,,,,,,,
125,MelbourneKath,2023-06-01,PostCovid,5,5.0,"[[pool, sure, 2], [view, best, 0]]",,,,,1.0,1.0,1.0,0.5,,
126,garfieldm428,2023-06-01,PostCovid,5,5.0,"[[room, perfect, 2], [staff, covid, 0]]",,,,,1.0,0.0,1.0,1.0,,
127,elimor10,2023-06-01,PostCovid,5,5.0,"[[team, front, 3]]",,,,,,,,,1.0,0.0
128,Stay11859142669,2023-02-01,PostCovid,5,4.0,[],,,,,,,,,,
129,Dr SM,2023-06-01,PostCovid,5,5.0,"[[singapor, best, 0]]",,,,,1.0,1.0,,,,
130,Sightseer67654214053,2023-05-01,PostCovid,5,5.0,"[[day, great, 4], [time, super, 4], [time, great, 4]]",3.0,0.6444444444444445,,,,,,,,
131,mujou h,2023-06-01,PostCovid,5,5.0,"[[room, classi, 2], [pool, nice, 2], [pool, 'super nice', 2]]",,,,,,,3.0,0.35555555555555557,,
132,Allan,2023-06-01,PostCovid,5,5.0,[],,,,,,,,,,
133,Leong Ngan foi,2023-04-01,PostCovid,5,5.0,"[[birthday, celebr, 3]]",,,,,,,,,1.0,0.0
134,Emma L,2023-06-01,PostCovid,5,5.0,"[[desk, servic, 4], [desk, impecc, 4], [desk, front, 4], [staff, strait, 0], [staff, 'well strait', 0]]",3.0,0.0,,,2.0,0.0,,,,
135,Happiness01659237799,2023-06-01,PostCovid,5,5.0,"[[view, nice, 0]]",,,,,1.0,0.6,,,,
136,Jemi W,2022-11-01,PostCovid,5,4.0,"[[birthday, celebr, 3]]",,,,,,,,,1.0,0.0
137,Mary C,2023-02-01,PostCovid,5,5.0,[],,,,,,,,,,
138,Rudz,2023-05-01,PostCovid,5,5.0,"[[team, special, 3]]",,,,,,,,,1.0,0.35714285714285715
139,DayTrip44826924254,2023-05-01,PostCovid,5,5.0,"[[time, second, 4]]",1.0,0.0,,,,,,,,
140,Sam,2023-05-01,PostCovid,5,5.0,"[[thank, big, 3], [team, whole, 3]]",,,,,,,,,2.0,0.1
141,Suzy and Paul,2023-05-01,PostCovid,5,5.0,"[[stay, previous, 0], [birthday, particularli, 3], [realli, fizz, 2]]",,,,,1.0,-0.16666666666666666,1.0,0.0,1.0,0.0
142,Capt,2023-05-01,PostCovid,5,5.0,"[[room, short, 2]]",,,,,,,1.0,0.0,,
143,chocolatines4us,2023-04-01,PostCovid,5,5.0,"[[check, arrang, 4]]",1.0,0.0,,,,,,,,
144,Eve Kaur,2023-05-01,PostCovid,5,5.0,"[[club, strait, 0], [club, special, 0], [team, singapor, 3]]",,,,,2.0,0.17857142857142858,,,1.0,0.0
145,Nurul A,2023-04-01,PostCovid,5,5.0,"[[room, great, 2]]",,,,,,,1.0,0.8,,
146,Michael2810,2023-05-01,PostCovid,5,5.0,[],,,,,,,,,,
147,ZM,2023-05-01,PostCovid,5,5.0,"[[hotel, high, 1], [tea, high, 3]]",,,1.0,0.16,,,,,1.0,0.16
148,Roslyn v,2023-05-01,PostCovid,5,5.0,"[[staff, underst, 0]]",,,,,1.0,0.0,,,,
149,Freedom65775689973,2023-05-01,PostCovid,5,5.0,[],,,,,,,,,,
150,Relax37901998772,2023-05-01,PostCovid,5,5.0,[],,,,,,,,,,
151,Zairin Z,2023-05-01,PostCovid,5,5.0,"[[enjoy, nice, 3], [time, next, 4]]",1.0,0.0,,,,,,,1.0,0.5
152,KWSKAN,2023-05-01,PostCovid,5,3.0,"[[room, standard, 2], [stay, pleasant, 0]]",,,,,1.0,0.7333333333333333,1.0,0.0,,
153,Kee Guan,2023-05-01,PostCovid,5,5.0,"[[room, pleasant, 2], [visit, petal, 0], [visit, everi, 0]]",,,,,2.0,0.0,1.0,0.7333333333333333,,
154,wilkoflyer,2023-05-01,PostCovid,5,5.0,"[[restaur, incred, 1], [servic, great, 3], [room, better, 2], [room, 'even better', 2], [room, good, 2]]",,,1.0,0.0,,,3.0,0.5666666666666667,1.0,0.8
155,icecream,2022-11-01,PostCovid,5,5.0,[],,,,,,,,,,
156,Natalie W,2023-01-01,PostCovid,5,5.0,"[[night, final, 0]]",,,,,1.0,0.0,,,,
157,Karma181,2023-04-01,PostCovid,5,5.0,"[[club, impecc, 0]]",,,,,1.0,0.0,,,,
158,Voyager54536894975,2022-12-01,PostCovid,5,5.0,"[[peopl, small, 2], [stay, servic, 0], [walk, great, 1]]",,,1.0,0.8,1.0,0.0,1.0,-0.25,,
159,Chia Kok Koon,2023-04-01,PostCovid,5,5.0,"[[guest, regular, 4], [love, celebr, 0], [birthday, celebr, 3], [view, full, 0], [stay, twice, 0]]",1.0,0.0,,,3.0,0.2833333333333333,,,1.0,0.0
160,Gazman64,2023-04-01,PostCovid,5,5.0,"[[stay, fortun, 0], [view, spectacular, 0]]",,,,,2.0,0.3,,,,
161,Tacye B,2023-04-01,PostCovid,5,5.0,"[[staff, new, 0], [staff, recept, 0], [book, old, 4]]",1.0,0.1,,,2.0,0.06818181818181818,,,,
162,lawyeronholidays,2023-04-01,PostCovid,5,4.0,"[[room, twin, 2], [room, longer, 2]]",,,,,,,2.0,0.0,,
163,flowerpotbee,2023-04-01,PostCovid,5,4.0,"[[friendli, servic, 3], [friendli, great, 3], [help, great, 3], [room, great, 2]]",,,,,,,1.0,0.8,3.0,0.5333333333333333
164,Sherpa24640322084,2023-04-01,PostCovid,5,5.0,"[[room, live, 2]]",,,,,,,1.0,0.13636363636363635,,
165,danieljd1980,2023-04-01,PostCovid,5,5.0,[],,,,,,,,,,
166,Explorer02738360246,2023-04-01,PostCovid,5,5.0,"[[servic, good, 3]]",,,,,,,,,1.0,0.7
167,Joseph Sav,2023-04-01,PostCovid,5,5.0,[],,,,,,,,,,
168,Psyduck12,2023-04-01,PostCovid,5,5.0,[],,,,,,,,,,
169,Rockmanna,2023-02-01,PostCovid,5,5.0,[],,,,,,,,,,
170,Mac7471,2023-04-01,PostCovid,5,5.0,"[[time, singapor, 4], [time, next, 4]]",2.0,0.0,,,,,,,,
171,Eddie Tran,2022-05-01,PostCovid,5,5.0,[],,,,,,,,,,
172,Callum M,2023-04-01,PostCovid,5,5.0,"[[friendli, super, 3]]",,,,,,,,,1.0,0.3333333333333333
173,Börje Harrison,2023-04-01,PostCovid,5,5.0,"[[room, experi, 2], [pool, sure, 2], [pool, pancak, 2], [pool, fresh, 2]]",,,,,,,4.0,0.2,,
174,Stay03692215449,2023-03-01,PostCovid,5,5.0,"[[birthday, celebr, 3]]",,,,,,,,,1.0,0.0
175,Moritz57,2023-04-01,PostCovid,5,5.0,"[[staff, select, 0], [staff, sweet, 0]]",,,,,2.0,0.175,,,,
176,Natalia T,2023-03-01,PostCovid,5,4.0,"[[hotel, nice, 1], [restaur, unfortun, 1]]",,,2.0,0.3,,,,,,
177,Culture62342578606,2023-04-01,PostCovid,5,5.0,"[[time, first, 4], [visit, next, 0]]",1.0,0.25,,,1.0,0.0,,,,
178,KWF,2023-04-01,PostCovid,5,5.0,[],,,,,,,,,,
179,Jayasree B,2023-04-01,PostCovid,5,5.0,[],,,,,,,,,,
180,Murali K,2023-04-01,PostCovid,5,5.0,[],,,,,,,,,,
181,Sarah C,2023-03-01,PostCovid,5,5.0,"[[citi, classi, 1], [time, first, 4], [staff, perfect, 0], [night, first, 0]]",1.0,0.25,1.0,0.0,2.0,0.625,,,,
182,Geoff C,2023-04-01,PostCovid,5,5.0,[],,,,,,,,,,
183,katerina Alavesh,2023-04-01,PostCovid,5,5.0,"[[hotel, best, 1], [time, good, 4]]",1.0,0.7,1.0,1.0,,,,,,
184,Gabriel W,2023-04-01,PostCovid,5,5.0,[],,,,,,,,,,
185,Mavis G,2023-04-01,PostCovid,5,5.0,"[[manag, particularli, 4]]",1.0,0.0,,,,,,,,
186,Matthew D,2023-04-01,PostCovid,5,3.0,"[[staff, great, 0], [staff, experi, 0], [staff, great, 0], [time, high, 4], [hotel, great, 1]]",1.0,0.16,1.0,0.8,3.0,0.5333333333333333,,,,
187,Inspire05980390886,2023-04-01,PostCovid,5,5.0,[],,,,,,,,,,
188,JoJackson31,2023-04-01,PostCovid,5,3.0,"[[night, last, 0], [day, next, 4], [day, last, 4]]",2.0,0.0,,,1.0,0.0,,,,
189,Mac,2023-03-01,PostCovid,5,2.0,[],,,,,,,,,,
190,Maruzz,2023-03-01,PostCovid,5,5.0,"[[hotel, singapor, 1]]",,,1.0,0.0,,,,,,
191,Agnes,2023-04-01,PostCovid,5,5.0,"[[singapor, wider, 0]]",,,,,1.0,0.0,,,,
192,Kathlyn P,2023-03-01,PostCovid,5,5.0,"[[club, strait, 0]]",,,,,1.0,0.0,,,,
193,kellen56,2023-02-01,PostCovid,5,5.0,"[[restaur, main, 1], [breakfast, perfect, 1], [birthday, celebr, 3]]",,,2.0,0.5833333333333334,,,,,1.0,0.0
194,atri h,2023-03-01,PostCovid,5,5.0,[],,,,,,,,,,
195,29explorer,2023-03-01,PostCovid,5,4.0,[],,,,,,,,,,
196,Vicky,2023-03-01,PostCovid,5,2.0,"[[hotel, great, 1], [time, poor, 4], [bed, old, 2]]",1.0,-0.4,1.0,0.8,,,1.0,0.1,,
